September
1. accord://read/ESVS?Luk_20:27-40,Heb_1:1-9,Prov_18,Isa_1-2
2. accord://read/ESVS?Luk_20:41-47,Heb_1:10-14,Prov_19:1-14,Isa_3-5
3. accord://read/ESVS?Luk_21:1-19,Heb_2:1-9,Prov_19:15-29,Isa_6-8
4. accord://read/ESVS?Luk_21:20-28,Heb_2:10-18,Prov_20:1-15,Isa_9-10
5. accord://read/ESVS?Luk_21:29-38,Heb_3,Prov_20:16-30,Isa_11-13
6. accord://read/ESVS?Luk_22:1-13,Heb_4:1-11,Prov_21:1-16,Isa_14-16
7. accord://read/ESVS?Luk_22:14-23,Heb_4:12-16,Prov_21:17-31,Isa_17-20
8. accord://read/ESVS?Luk_22:24-30,Heb_5,Prov_22:1-16,Isa_21-23
9. accord://read/ESVS?Luk_22:31-38,Heb_6:1-12,Prov_22:17-29,Isa_24-26
10. accord://read/ESVS?Luk_22:39:46,Heb_6:13-20,Prov_23:1-18,Isa_27-28
11. accord://read/ESVS?Luk_22:47-53,Heb_7:1-10,Prov_23:19-35,Isa_29-30
12. accord://read/ESVS?Luk_22:54-62,Heb_7:11-28,Prov_24:1-22,Isa_31-33
13. accord://read/ESVS?Luk_22:63-71,Heb_8:1-6,Prov_24:23-34,Isa_34-36
14. accord://read/ESVS?Luk_23:1-12,Heb_8:7-13,Prov_25:1-14,Isa_37-39
15. accord://read/ESVS?Luk_23:13-25,Heb_9:1-10,Prov_25:15-28,Isa_40-41
16. accord://read/ESVS?Luk_23:26-31,Heb_9:11-28,Prov_26:1-16,Isa_42-43
17. accord://read/ESVS?Luk_23:32-37,Heb_10:1-18,Prov_26:17-28,Isa_44-45
18. accord://read/ESVS?Luk_23:38-43,Heb_10:19-39,Prov_27:1-14,Isa_46-48
19. accord://read/ESVS?Luk_23:44-49,Heb_11:1-16,Prov_27:15-27,Isa_49-50
20. accord://read/ESVS?Luk_23:50-56,Heb_11:17-31,Prov_28:1-14,Isa_51-53
21. accord://read/ESVS?Luk_24:1-12,Heb_11:32-40,Prov_28:15-28,Isa_54-55
22. accord://read/ESVS?Luk_24:13-27,Heb_12:1-13,Prov_29:1-14,Isa_56-58
23. accord://read/ESVS?Luk_24:28-35,Heb_12:14-29,Prov_29:15-27,Isa_59-61
24. accord://read/ESVS?Luk_24:36-44,Heb_13:1-8,Prov_30,Isa_62-64
25. accord://read/ESVS?Luk_24:45-53,Heb_13:9-25,Prov_31,Isa_65-66
October
1. accord://read/ESVS?John_1:1-18,James_1:1-11,Eccl_1,Jer_1-2
2. accord://read/ESVS?John_1:19-28,James_1:12-18,Eccl_2:1-16,Jer_3-4
3. accord://read/ESVS?John_1:29-34,James_1:19-27,Eccl_2:17-26,Jer_5-6
4. accord://read/ESVS?John_1:35-42,James_2:1-13,Eccl_3:1-15,Jer_7-9
5. accord://read/ESVS?John_1:43-51,James_2:14-26,Eccl_3:16-22,Jer_10-11
6. accord://read/ESVS?John_2:1-11,James_3:1-12,Eccl_4,Jer_12-13
7. accord://read/ESVS?John_2:12-25,James_3:13-18,Eccl_5,Jer_14-15
8. accord://read/ESVS?John_3:1-15,James_4:1-10,Eccl_6,Jer_16-18
9. accord://read/ESVS?John_3:16-21,James_4:11-17,Eccl_7:1-14,Jer_19-22
10. accord://read/ESVS?John_3:22-36,James_5:1-6,Eccl_7:15-29,Jer_23-25
11. accord://read/ESVS?John_4:1-14,James_5:7-12,Eccl_8,Jer_26-29
12. accord://read/ESVS?John_4:15-26,James_5:13-20,Eccl_9,Jer_30-31
13. accord://read/ESVS?John_4:27-42,1Pe_1:1-9,Eccl_10,Jer_32-34
14. accord://read/ESVS?John_4:43-54,1Pe_1:10-16,Eccl_11,Jer_35-38
15. accord://read/ESVS?John_5:1-15,1Pe_1:17-25,Eccl_12,Jer_39-43
16. accord://read/ESVS?John_5:16-30,1Pe_2:1-8,Song_1,Jer_44-46
17. accord://read/ESVS?John_5:31-47,1Pe_2:9-17,Song_2,Jer_47-48
18. accord://read/ESVS?John_6:1-15,1Pe_2:18-25,Song_3,Jer_49
19. accord://read/ESVS?John_6:16-24,1Pe_3:1-7,Song_4:1-7,Jer_50
20. accord://read/ESVS?John_6:25-40,1Pe_3:8-12,Song_4:8-16,Jer_51
